Subject,Naturalness,Cognitive_Load,Motivation,System
p1,NA,1,4,A
p2,NA,2,4,A
p3,NA,3,3,A
p4,NA,3,3,A
p5,NA,2,4,A
p6,5,1,5,A
p7,3,2,3,A
p8,2,2,1,A
p9,4,2,2,A
p10,5,1,5,A
p11,5,1,4,A
p12,5,1,4,A
p13,4,3,3,A
p14,5,1,5,A
p15,4,2,4,A
p1,NA,2,4,C
p2,NA,3,4,C
p3,NA,3,4,C
p4,NA,3,3,C
p5,NA,3,4,C
p6,2,3,3,C
p7,1,3,3,C
p8,2,3,2,C
p9,1,3,3,C
p10,2,5,5,C
p11,1,1,4,C
p12,3,3,3,C
p13,2,4,2,C
p14,1,2,5,C
p15,3,3,4,C
p1,NA,3,4,E
p2,NA,2,5,E
p3,NA,2,2,E
p4,NA,3,4,E
p5,NA,3,4,E
p6,2,4,2,E
p7,2,4,3,E
p8,1,4,2,E
p9,2,1,4,E
p10,1,5,5,E
p11,2,2,4,E
p12,2,3,3,E
p13,2,4,2,E
p14,2,1,5,E
p15,2,4,4,E
p1,NA,1,4,G
p2,NA,4,4,G
p3,NA,2,3,G
p4,NA,4,4,G
p5,NA,3,4,G
p6,3,2,4,G
p7,2,3,4,G
p8,2,2,2,G
p9,2,2,4,G
p10,3,3,5,G
p11,3,1,4,G
p12,3,2,4,G
p13,3,3,3,G
p14,3,1,5,G
p15,3,2,5,G
p1,NA,3,4,I
p2,NA,2,4,I
p3,NA,4,4,I
p4,NA,4,3,I
p5,NA,3,4,I
p6,1,4,3,I
p7,1,3,4,I
p8,1,4,2,I
p9,1,4,3,I
p10,1,5,5,I
p11,1,1,4,I
p12,1,4,4,I
p13,1,5,1,I
p14,1,4,5,I
p15,1,4,4,I
